area;u_18;18_24;25_34;35_44;45_54;55_64;65_74;o_75;pop;White;Black;Native;Asian;Hawaiian;Other;2_or_more;Hispanic;Non_Hispanic;;;
28700;20,6;7,6;10,7;13,4;15,2;14,3;10,3;7,9;309.544;95,69;1,91;0,24;0,49;0,02;0,52;1,13;1,35;98,65;;;
28740;20,2;10,0;10,9;13,2;16,8;14,0;7,9;6,9;182.493;86,68;6,02;0,33;1,70;0,02;2,49;2,77;8,72;91,28;;;
28940;21,9;10,1;12,6;13,2;14,6;12,9;8,2;6,5;698.030;88,52;6,42;0,30;1,44;0,07;1,47;1,78;3,42;96,58;;;
29020;23,6;7,8;11,2;12,5;15,2;13,4;8,9;7,5;98.688;90,02;5,78;0,31;0,82;0,03;0,82;2,23;2,58;97,42;;;
29100;21,6;14,3;12,5;11,4;14,2;12,1;6,8;7,1;133.665;92,85;1,28;0,39;3,61;0,02;0,29;1,55;1,40;98,60;;;
29140;21,3;22,1;13,9;11,0;11,6;9,8;5,6;4,8;201.789;85,82;3,47;0,25;5,34;0,03;3,08;2,02;6,98;93,02;;;
29180;24,9;11,8;14,9;12,6;14,4;10,9;5,9;4,6;273.738;68,69;26,71;0,35;1,36;0,03;1,28;1,58;3,53;96,47;;;
29340;25,4;10,1;13,4;12,0;14,6;11,8;7,0;5,6;199.607;71,67;24,00;0,47;1,04;0,05;0,89;1,88;2,55;97,45;;;
29420;20,6;6,8;9,1;10,0;14,3;15,7;14,1;9,2;200.186;86,86;0,94;2,25;1,05;0,17;5,99;2,74;14,77;85,23;;;
29460;23,5;8,8;11,8;12,2;13,3;12,3;10,1;7,9;602.095;75,21;14,75;0,45;1,62;0,06;5,46;2,45;17,69;82,31;;;
29540;24,8;9,7;11,7;12,2;14,5;11,9;7,4;7,6;519.445;88,59;3,66;0,23;1,90;0,03;3,62;1,96;8,65;91,35;;;
29620;22,0;15,7;12,9;11,7;13,9;12,0;6,4;5,3;464.036;81,57;8,92;0,51;3,78;0,03;1,88;3,31;6,16;93,84;;;
29700;35,2;10,9;14,0;13,7;10,9;7,4;4,4;3,4;250.304;87,97;0,45;0,40;0,58;0,01;9,10;1,47;95,74;4,26;;;
29740;26,7;13,1;13,2;11,2;12,7;10,7;7,0;5,4;209.233;74,07;1,75;1,50;1,06;0,09;18,49;3,03;65,72;34,28;;;
29820;25,0;9,2;15,1;14,8;13,6;11,0;6,9;4,4;1.951.269;60,89;10,47;0,74;8,65;0,70;13,45;5,09;29,14;70,86;;;
29940;19,1;24,6;15,8;10,8;11,2;9,6;4,7;4,2;110.826;84,52;3,93;2,66;3,74;0,06;1,34;3,75;5,10;94,90;;;
30020;25,1;13,6;16,5;12,3;13,0;9,3;5,7;4,5;124.098;64,46;17,46;5,86;2,24;0,55;2,96;6,47;11,20;88,80;;;
30140;23,0;8,3;11,1;12,7;14,8;13,0;8,5;8,5;133.568;91,01;2,16;0,19;1,15;0,03;3,87;1,60;9,29;90,71;;;
30300;21,7;9,3;11,6;11,2;14,3;13,4;9,5;9,0;60.888;91,61;0,34;4,12;0,65;0,12;0,70;2,46;2,88;97,12;;;
30340;22,6;9,3;12,0;13,4;15,8;12,8;7,3;6,8;107.702;92,79;3,65;0,38;0,72;0,03;0,42;2,00;1,55;98,45;;;
30460;22,7;12,0;15,1;13,6;14,1;11,3;6,2;4,9;472.099;81,41;10,82;0,24;2,28;0,04;2,98;2,22;5,88;94,12;;;
30620;23,9;10,7;11,7;11,7;14,6;12,6;7,5;7,3;106.331;83,78;11,89;0,19;0,70;0,01;0,79;2,63;2,36;97,64;;;
30700;23,1;14,6;15,1;12,0;13,0;11,0;5,7;5,4;302.157;87,68;3,30;0,73;3,32;0,05;2,25;2,67;5,61;94,39;;;
30780;24,5;9,8;14,4;13,2;14,1;11,7;6,9;5,3;699.757;71,55;22,16;0,47;1,47;0,05;2,40;1,89;4,80;95,20;;;
30860;32,0;16,3;16,4;10,2;9,5;7,4;4,4;3,8;125.442;89,65;0,58;0,59;1,70;0,35;5,25;1,87;9,61;90,39;;;
30980;24,8;9,6;13,1;12,2;14,3;11,9;7,5;6,6;214.369;71,79;17,37;0,60;0,80;0,04;7,24;2,17;14,11;85,89;;;
31020;24,1;8,2;11,4;12,3;14,7;13,8;8,6;6,8;102.410;88,93;0,63;1,53;1,46;0,23;3,49;3,73;7,79;92,21;;;
31100;24,5;10,7;14,7;14,6;14,1;10,4;5,9;5,1;12.828.837;52,75;7,07;0,71;14,69;0,28;20,08;4,42;44,44;55,56;;;
31140;24,0;8,6;13,4;13,5;15,3;12,4;7,0;5,8;1.283.566;80,77;13,72;0,25;1,57;0,06;1,61;2,03;3,93;96,07;;;
31180;24,4;16,7;14,5;11,0;12,4;9,8;5,9;5,2;284.890;77,33;7,43;0,73;2,02;0,07;9,97;2,45;32,33;67,67;;;
31340;21,2;12,6;10,7;12,0;14,8;13,0;8,6;7,1;252.634;78,24;17,52;0,36;1,33;0,03;0,77;1,76;2,07;97,93;;;
31420;25,1;9,8;12,3;12,6;14,8;12,5;7,2;5,7;232.293;52,56;43,45;0,24;1,28;0,06;1,08;1,33;2,44;97,56;;;
31460;28,4;10,5;13,6;12,7;12,8;10,5;6,5;4,9;150.865;62,61;3,73;2,74;1,86;0,11;24,78;4,18;53,69;46,31;;;
31540;22,0;12,0;15,5;13,3;14,5;11,8;5,7;5,1;568.593;86,39;4,60;0,36;4,13;0,04;2,22;2,27;5,40;94,60;;;
31700;23,5;8,6;12,3;14,4;17,1;12,4;6,4;5,5;400.721;90,38;2,07;0,24;3,23;0,03;2,07;1,98;5,30;94,70;;;
31740;23,8;23,8;16,9;9,8;9,7;7,8;4,2;4,1;127.081;80,38;8,72;0,74;3,34;0,33;2,21;4,28;7,73;92,27;;;
31860;20,4;20,3;13,8;10,3;12,5;10,8;5,8;6,1;96.740;93,10;2,49;0,29;1,74;0,02;0,82;1,54;2,91;97,09;;;
31900;22,5;8,4;11,9;12,6;15,0;13,3;8,5;7,8;124.475;87,46;9,41;0,19;0,65;0,03;0,35;1,91;1,39;98,61;;;
32580;34,7;10,7;14,0;13,2;10,3;7,8;5,1;4,2;774.769;87,98;0,59;0,33;0,97;0,01;8,79;1,32;90,63;9,37;;;
32780;21,8;8,6;11,5;11,4;14,2;14,9;9,3;8,4;203.206;88,66;0,68;1,17;1,16;0,29;4,53;3,50;10,70;89,30;;;
32820;26,6;9,7;13,7;13,6;14,4;11,4;6,0;4,6;1.316.100;47,92;45,67;0,26;1,86;0,05;2,84;1,40;4,97;95,03;;;
32900;31,5;11,9;13,7;12,5;12,1;8,9;5,2;4,2;255.793;58,01;3,88;1,36;7,36;0,23;24,50;4,66;54,92;45,08;;;
33100;21,7;9,0;12,8;14,2;14,9;11,5;8,0;8,0;5.564.635;70,34;21,01;0,29;2,26;0,04;3,54;2,52;41,56;58,44;;;
33140;22,8;8,4;12,9;13,2;15,3;13,3;7,7;6,5;111.467;84,14;10,77;0,27;0,52;0,02;2,00;2,28;5,47;94,53;;;
33260;27,4;10,0;14,4;11,9;14,4;10,8;5,6;5,4;136.872;76,93;6,64;0,74;1,25;0,04;12,00;2,39;37,70;62,30;;;
33340;24,6;9,7;13,5;12,9;15,0;11,8;6,2;6,3;1.555.908;73,72;16,78;0,55;2,96;0,03;3,66;2,30;9,48;90,52;;;
33460;25,0;9,1;14,6;13,9;15,5;11,3;5,7;4,9;3.279.833;81,00;7,42;0,69;5,73;0,04;2,35;2,77;5,37;94,63;;;
33540;20,0;15,0;15,9;11,6;13,5;12,7;6,4;5,0;109.299;92,70;0,41;2,63;1,13;0,10;0,44;2,60;2,62;97,38;;;
33660;25,1;10,0;13,0;12,4;14,5;12,1;7,3;5,7;412.992;60,21;34,62;0,89;1,83;0,05;0,94;1,46;2,41;97,59;;;
33700;28,6;10,5;13,6;13,0;13,5;10,1;5,8;4,9;514.453;65,57;2,86;1,15;5,07;0,66;19,28;5,40;41,92;58,08;;;
33740;25,8;11,0;13,3;12,1;13,5;11,4;7,0;5,9;176.441;61,53;35,36;0,25;0,84;0,04;0,89;1,09;2,10;97,90;;;
33780;24,1;8,4;10,9;13,3;16,6;13,3;7,3;6,1;152.021;94,38;2,13;0,31;0,55;0,02;0,84;1,77;3,07;96,93;;;
33860;24,6;10,4;13,6;13,5;14,4;11,4;6,8;5,2;374.536;52,55;42,54;0,30;1,56;0,07;1,65;1,33;3,16;96,84;;;
34060;16,8;21,7;14,6;11,5;12,4;11,4;6,4;5,2;129.709;92,68;2,97;0,16;2,30;0,04;0,32;1,51;1,48;98,52;;;
34100;22,8;8,7;11,2;13,6;14,5;13,2;9,7;6,3;136.608;91,29;2,70;0,31;0,51;0,06;3,54;1,58;6,49;93,51;;;
34580;23,7;8,2;12,1;11,8;14,1;13,9;8,8;7,4;116.901;83,36;0,66;2,15;1,78;0,19;8,66;3,20;16,86;83,14;;;
34620;20,0;19,2;10,9;11,0;12,7;11,4;7,8;6,8;117.671;89,12;6,92;0,26;0,97;0,05;0,57;2,10;1,77;98,23;;;
34740;24,8;9,0;12,4;12,4;15,2;12,6;7,1;6,4;172.188;79,96;14,45;0,82;0,55;0,02;1,37;2,84;4,80;95,20;;;
34820;20,1;9,7;12,6;12,4;13,8;14,3;10,5;6,6;269.291;79,87;13,44;0,47;1,05;0,11;3,11;1,95;6,20;93,80;;;
34900;23,1;8,8;12,3;13,1;14,6;13,1;7,7;7,4;136.484;71,46;1,95;0,78;6,76;0,27;14,70;4,09;32,25;67,75;;;
34940;19,5;6,9;10,1;11,1;12,7;13,4;14,4;12,1;321.520;83,85;6,56;0,35;1,09;0,04;6,20;1,92;25,87;74,13;;;
34980;24,4;9,8;14,7;14,4;14,7;11,2;6,1;4,6;1.589.934;76,86;15,24;0,33;2,28;0,05;3,19;2,05;6,63;93,37;;;
35300;22,4;9,9;12,5;13,2;15,4;12,2;7,0;7,3;862.477;74,75;12,74;0,29;3,51;0,04;6,03;2,64;15,04;84,96;;;
35380;23,4;9,9;14,2;12,8;15,1;12,5;6,7;5,4;1.167.764;58,21;34,00;0,44;2,72;0,04;2,64;1,93;7,87;92,13;;;
35620;22,8;9,4;14,2;14,1;14,8;11,5;6,8;6,3;18.897.109;59,15;17,79;0,49;9,94;0,05;9,34;3,24;22,90;77,10;;;
35660;23,4;8,5;11,0;12,2;15,3;13,3;8,5;7,8;156.813;78,31;15,33;0,53;1,56;0,08;1,80;2,39;4,50;95,50;;;
35840;17,9;6,4;9,1;10,7;13,6;14,7;13,9;13,7;702.281;86,35;6,56;0,28;1,45;0,05;3,53;1,78;11,10;88,90;;;
35980;21,7;9,8;11,9;13,2;16,3;12,8;7,4;6,8;274.055;82,18;5,85;0,91;4,15;0,07;3,18;3,66;8,47;91,53;;;
36100;19,4;7,2;9,6;10,8;13,4;13,9;14,2;11,5;331.298;80,98;12,32;0,40;1,33;0,04;2,87;2,06;10,91;89,09;;;
36140;18,9;8,0;9,4;10,6;15,8;15,7;11,3;10,2;97.265;89,83;4,69;0,21;0,86;0,04;2,47;1,91;6,22;93,78;;;
36220;29,0;11,2;14,4;12,0;13,3;10,0;5,6;4,6;137.130;76,32;4,48;0,99;0,79;0,09;14,86;2,48;52,75;47,25;;;
36260;32,5;9,9;15,6;12,2;11,8;8,9;4,9;4,1;547.184;88,14;1,25;0,61;1,53;0,45;5,24;2,78;11,82;88,18;;;
36420;25,0;10,8;14,7;12,6;13,9;11,3;6,5;5,2;1.252.987;71,89;10,42;4,09;2,81;0,09;5,54;5,16;11,34;88,66;;;
36500;23,0;9,1;13,5;13,1;14,7;13,6;7,2;5,7;252.264;82,40;2,68;1,39;5,17;0,78;2,24;5,35;7,05;92,95;;;
36540;26,3;9,5;14,7;13,1;14,2;11,1;5,9;5,2;865.350;82,52;7,86;0,60;2,08;0,07;4,29;2,58;8,96;91,04;;;
36740;23,4;11,0;13,9;14,0;14,4;11,0;6,9;5,5;2.134.411;69,98;16,16;0,41;3,98;0,10;6,14;3,24;25,25;74,75;;;
36780;21,6;11,9;13,1;12,8;15,3;11,8;6,7;6,7;166.994;92,49;1,78;0,62;2,29;0,03;1,31;1,48;3,46;96,54;;;
36980;24,4;8,4;12,2;12,7;15,0;12,6;7,9;6,9;114.752;92,17;4,14;0,15;0,62;0,05;1,17;1,68;2,37;97,63;;;
37100;25,7;9,9;12,8;13,5;15,0;11,4;6,2;5,5;823.318;68,72;1,84;0,98;6,73;0,20;17,04;4,49;40,27;59,73;;;
37340;19,8;7,9;10,1;11,4;16,7;13,7;10,6;9,8;543.376;82,99;10,08;0,39;2,09;0,09;1,71;2,64;8,09;91,91;;;
37380;19,9;6,3;9,4;11,2;13,2;15,5;14,2;10,3;95.696;82,25;11,37;0,28;2,14;0,06;1,61;2,28;8,62;91,38;;;
37460;22,0;9,5;13,1;12,8;15,7;12,4;8,1;6,4;168.852;82,16;10,77;0,68;1,99;0,10;1,21;3,10;4,80;95,20;;;
37620;21,4;8,0;11,1;12,6;15,6;14,1;9,5;7,5;162.056;96,56;1,07;0,21;0,51;0,03;0,19;1,43;0,80;99,20;;;
37700;25,7;8,8;12,8;13,4;15,0;11,9;7,6;4,9;162.246;74,58;19,64;0,39;1,89;0,05;1,71;1,74;4,21;95,79;;;
37860;22,4;11,4;12,6;12,2;15,2;12,3;7,9;6,0;448.991;75,26;17,04;0,88;2,44;0,14;1,16;3,09;4,58;95,42;;;
37900;24,0;8,9;12,8;12,4;14,3;12,7;7,6;7,3;379.186;85,66;9,14;0,26;1,88;0,03;1,03;2,00;2,77;97,23;;;
37980;23,3;10,1;12,9;13,2;15,3;11,9;6,8;6,5;5.965.343;68,20;20,82;0,27;4,96;0,04;3,39;2,33;7,85;92,15;;;
38060;26,4;9,7;14,3;13,7;13,1;10,5;6,9;5,4;4.192.887;72,95;4,95;2,37;3,31;0,22;12,71;3,48;29,47;70,53;;;
38220;23,3;10,7;12,8;12,5;14,8;12,6;7,4;6,0;100.258;49,24;47,80;0,27;0,64;0,01;0,90;1,14;1,81;98,19;;;
38300;20,2;9,1;11,6;12,3;15,8;13,8;8,3;9,0;2.356.285;87,82;8,35;0,12;1,75;0,02;0,35;1,58;1,27;98,73;;;
38340;19,5;9,4;9,8;11,7;16,1;14,9;9,0;9,5;131.219;92,50;2,72;0,19;1,23;0,02;1,19;2,14;3,45;96,55;;;
38540;27,7;11,9;15,0;11,0;12,0;11,1;6,1;5,1;90.656;88,54;0,71;3,09;1,23;0,22;3,58;2,64;8,73;91,27;;;
38860;21,1;8,4;11,4;13,6;16,7;14,0;7,8;7,0;514.098;94,42;1,58;0,32;1,58;0,03;0,42;1,65;1,55;98,45;;;
38900;23,7;8,7;15,1;14,6;14,3;12,3;6,2;5,1;2.226.009;81,03;2,86;0,94;5,70;0,46;4,93;4,08;10,86;89,14;;;
38940;20,7;7,3;10,0;11,8;14,5;13,2;11,5;11,0;424.107;77,11;14,35;0,46;1,39;0,06;4,36;2,27;15,06;84,94;;;
39100;25,0;10,3;10,9;13,7;16,2;11,8;6,5;5,6;670.301;78,50;10,06;0,39;2,88;0,03;5,22;2,91;14,69;85,31;;;
39140;19,1;7,1;8,8;9,7;14,1;17,2;13,7;10,4;211.033;89,33;0,60;1,68;0,85;0,10;4,90;2,54;13,61;86,39;;;
39300;21,6;10,8;12,0;13,4;15,5;12,4;7,1;7,3;1.600.852;83,81;4,87;0,51;2,54;0,05;5,14;3,07;10,22;89,78;;;
39340;35,3;15,6;17,0;10,9;8,4;6,2;3,6;2,9;526.810;89,52;0,54;0,60;1,34;0,74;4,57;2,69;10,66;89,34;;;
39380;24,5;9,4;11,9;11,9;14,1;13,0;7,9;7,4;159.063;79,36;2,03;1,92;0,79;0,10;12,12;3,68;41,37;58,63;;;
39460;14,3;5,4;7,0;8,8;13,3;17,1;18,1;16,0;159.978;90,05;5,68;0,26;1,20;0,04;1,10;1,67;5,76;94,24;;;
39540;24,8;8,1;12,2;13,2;16,3;12,3;6,9;6,3;195.408;79,70;11,14;0,40;1,09;0,03;5,14;2,51;11,54;88,46;;;
39580;26,2;9,3;14,6;16,2;14,6;10,2;5,3;3,7;1.130.490;67,48;20,19;0,51;4,41;0,04;4,98;2,39;10,13;89,87;;;
39660;24,7;9,7;13,7;11,5;14,7;12,5;7,0;6,2;126.382;85,26;1,08;8,19;0,96;0,08;0,80;3,63;3,81;96,19;;;
39740;23,9;10,0;11,2;13,1;15,2;12,1;7,2;7,3;411.442;83,16;4,90;0,31;1,31;0,03;7,80;2,49;16,37;83,63;;;
39820;22,4;9,0;11,3;11,0;15,0;14,4;9,3;7,6;177.223;86,74;0,87;2,79;2,48;0,15;2,54;4,42;8,40;91,60;;;
39900;23,5;10,6;13,3;13,1;14,6;12,7;7,3;4,9;425.417;77,05;2,32;1,71;5,14;0,60;9,42;3,77;22,08;77,92;;;
40060;23,3;9,8;13,1;13,7;15,4;12,4;6,7;5,4;1.258.251;61,97;29,84;0,44;3,12;0,06;2,30;2,27;5,03;94,97;;;
40140;28,8;10,9;13,4;13,4;13,5;9,7;5,8;4,6;4.224.851;58,90;7,63;1,10;6,13;0,33;21,02;4,90;47,25;52,75;;;
40220;21,5;8,3;11,2;13,0;15,5;14,2;8,7;7,6;308.707;82,16;12,83;0,24;1,62;0,03;1,30;1,82;3,15;96,85;;;
40340;25,4;7,6;14,4;12,7;15,4;11,4;6,9;6,1;186.011;88,11;3,77;0,24;4,30;0,04;1,57;1,97;4,08;95,92;;;
40380;22,6;10,8;11,6;12,6;15,6;12,7;7,2;6,9;1.054.323;81,06;11,63;0,29;2,55;0,03;2,12;2,32;6,14;93,86;;;
40420;25,5;8,4;12,2;13,4;14,9;12,1;7,2;6,2;349.431;78,52;10,64;0,33;2,15;0,03;5,55;2,79;12,35;87,65;;;
40580;24,2;8,4;11,5;12,9;15,3;13,6;7,9;6,2;152.392;49,51;44,68;0,54;0,56;0,02;3,28;1,40;5,33;94,67;;;
40660;24,3;10,3;12,1;13,0;13,9;12,0;7,7;6,5;96.317;76,89;14,16;0,36;1,30;0,12;5,31;1,87;9,33;90,67;;;
40900;24,9;10,3;13,6;13,2;14,5;11,5;6,4;5,6;2.149.127;64,67;7,37;1,01;11,91;0,74;8,39;5,92;20,18;79,82;;;
40980;23,4;10,6;11,0;12,0;14,7;13,0;8,0;7,3;200.169;74,57;19,04;0,44;1,05;0,03;2,38;2,49;7,78;92,22;;;
41060;23,5;14,6;13,7;11,8;13,9;10,6;6,0;6,0;189.093;92,34;2,86;0,33;1,80;0,03;1,07;1,56;2,55;97,45;;;
41100;30,2;9,7;13,0;10,0;9,7;10,1;9,3;8,0;138.115;89,72;0,57;1,35;0,71;0,78;4,57;2,29;9,76;90,24;;;
41140;22,9;10,3;13,1;12,5;14,9;11,8;7,4;7,0;127.329;90,23;5,05;0,46;0,66;0,16;1,35;2,09;4,20;95,80;;;
41180;23,8;9,2;13,1;12,9;15,5;12,1;7,0;6,4;2.812.896;76,54;18,36;0,24;2,14;0,04;0,86;1,82;2,56;97,44;;;
41420;26,0;10,2;13,3;12,3;13,0;12,0;7,0;6,3;390.738;79,71;0,97;1,68;1,90;0,65;11,22;3,86;21,93;78,07;;;
41500;26,7;11,1;15,0;13,2;12,8;10,4;5,5;5,2;415.057;55,59;3,08;1,32;6,09;0,50;28,29;5,15;55,41;44,59;;;
41540;21,2;15,6;12,2;11,7;14,2;11,8;7,1;6,1;125.203;65,46;28,01;0,26;2,12;0,04;1,79;2,33;4,27;95,73;;;
41620;29,4;10,4;16,9;13,2;12,1;9,3;4,8;3,8;1.124.197;81,99;1,51;0,88;3,10;1,43;8,03;3,07;16,62;83,38;;;
41660;23,5;13,8;13,3;11,0;13,1;11,4;7,2;6,7;111.823;81,86;3,98;0,79;1,00;0,09;9,45;2,83;35,52;64,48;;;
41700;26,9;10,4;13,9;13,4;13,7;10,7;6,1;4,9;2.142.508;75,49;6,60;0,81;2,12;0,13;11,59;3,27;54,06;45,94;;;
41740;23,4;11,9;15,2;13,6;13,9;10,6;5,8;5,5;3.095.313;64,01;5,11;0,85;10,86;0,50;13,55;5,12;32,03;67,97;;;
41780;22,2;7,4;10,3;12,0;15,9;14,8;9,1;8,2;77.079;87,01;8,62;0,30;0,60;0,01;0,68;2,78;3,38;96,62;;;
41860;21,2;8,9;15,0;15,1;15,0;12,2;6,7;5,9;4.335.391;51,66;8,39;0,57;23,20;0,73;9,91;5,53;21,65;78,35;;;
41940;24,3;8,9;15,1;15,6;14,8;10,4;6,0;5,1;1.836.911;47,46;2,55;0,75;31,14;0,39;12,81;4,90;27,79;72,21;;;
42020;18,9;14,7;11,9;11,0;14,6;13,8;7,9;7,4;269.637;82,61;2,06;0,94;3,15;0,14;7,34;3,75;20,76;79,24;;;
42060;23,1;14,9;13,6;11,9;13,0;10,6;6,3;6,5;423.895;69,62;2,01;1,29;4,88;0,19;17,42;4,59;42,86;57,14;;;
42100;21,1;13,8;12,9;12,6;14,8;13,7;6,0;5,1;262.382;72,49;1,05;0,86;4,24;0,13;16,53;4,69;32,05;67,95;;;
42140;21,0;7,4;11,5;12,6;15,5;16,8;9,3;5,8;144.170;76,16;0,86;3,11;1,16;0,07;15,07;3,56;50,65;49,35;;;
42220;22,0;9,5;12,7;12,5;15,2;14,2;7,3;6,6;483.878;76,76;1,57;1,34;3,79;0,32;11,77;4,44;24,89;75,11;;;
42340;24,1;11,9;14,8;12,7;13,7;11,2;6,5;5,1;347.611;59,68;33,87;0,27;2,08;0,09;1,88;2,14;4,95;95,05;;;
42540;20,4;9,6;11,1;12,7;15,1;13,5;8,5;9,2;563.631;91,51;2,91;0,17;1,22;0,02;2,67;1,50;5,79;94,21;;;
42660;22,8;9,3;15,2;14,8;15,2;11,8;5,9;4,9;3.439.809;71,95;5,58;1,07;11,42;0,82;3,81;5,35;9,00;91,00;;;
42680;18,8;6,6;9,0;10,3;13,7;14,4;13,1;14,1;138.028;84,29;8,98;0,30;1,21;0,04;3,56;1,63;11,20;88,80;;;
43100;23,9;7,7;12,0;13,0;16,1;12,7;7,3;7,3;115.507;89,92;1,46;0,38;4,60;0,03;1,99;1,62;5,48;94,52;;;
43300;24,1;9,3;11,4;12,2;14,9;12,6;8,5;7,0;120.877;83,86;5,86;1,52;0,87;0,03;5,18;2,68;11,32;88,68;;;
43340;24,9;9,8;14,0;12,1;14,0;11,9;7,1;6,1;398.604;56,40;38,93;0,49;1,17;0,08;1,28;1,66;3,47;96,53;;;
43580;27,0;9,7;12,6;12,2;13,7;11,8;6,6;6,3;143.577;83,23;2,25;2,04;2,22;0,12;7,30;2,84;15,56;84,44;;;
43620;26,0;9,1;15,6;13,1;14,2;10,8;5,6;5,5;228.261;90,22;2,96;1,98;1,31;0,06;1,44;2,03;3,39;96,61;;;
43780;24,5;10,7;12,2;12,3;14,3;12,4;6,9;6,9;319.224;80,34;11,52;0,48;1,68;0,06;3,01;2,90;6,57;93,43;;;
43900;24,4;9,8;11,9;13,7;14,4;12,4;7,8;5,7;284.307;72,34;20,60;0,27;2,02;0,03;3,06;1,67;5,86;94,14;;;
44060;23,2;11,4;13,2;12,3;14,4;12,5;6,8;6,1;471.221;89,19;1,71;1,55;2,11;0,40;1,25;3,79;4,51;95,49;;;
44100;23,7;8,3;12,7;12,5;15,5;13,3;7,3;6,6;210.170;84,45;11,14;0,20;1,55;0,02;0,52;2,12;1,71;98,29;;;
44140;21,8;12,8;11,3;12,2;15,1;12,9;6,9;7,0;692.942;81,11;6,69;0,35;2,48;0,04;6,62;2,70;15,37;84,63;;;
44180;23,2;11,8;13,4;12,3;13,9;11,5;7,4;6,5;436.712;92,96;2,05;0,67;1,18;0,09;0,79;2,26;2,65;97,35;;;
44220;23,6;9,0;11,0;12,1;14,4;13,6;8,6;7,6;138.333;86,34;8,77;0,25;0,62;0,04;1,44;2,54;2,75;97,25;;;
44300;15,9;28,9;12,2;10,4;11,6;9,7;5,9;5,3;153.990;89,37;3,01;0,12;5,19;0,03;0,74;1,53;2,40;97,60;;;
44600;19,9;8,7;10,1;12,1;15,4;15,3;9,4;9,2;124.454;93,85;3,91;0,13;0,38;0,02;0,20;1,52;1,00;99,00;;;
44700;29,3;10,4;13,3;13,2;13,4;10,0;5,6;4,8;685.306;50,97;7,55;1,05;14,37;0,55;19,12;6,39;38,86;61,14;;;
44940;25,5;10,8;13,2;12,1;14,1;11,3;7,3;5,6;107.456;48,23;46,92;0,36;1,11;0,09;1,41;1,89;3,29;96,71;;;
45060;22,9;11,7;11,5;12,4;15,6;12,3;7,0;6,8;662.577;85,46;8,08;0,73;2,38;0,03;0,97;2,35;3,43;96,57;;;
45220;20,4;18,9;14,1;11,7;13,1;11,5;6,0;4,4;367.413;61,04;32,48;0,31;2,32;0,05;1,78;2,04;5,81;94,19;;;
45300;21,2;8,6;12,1;13,1;14,9;12,7;9,0;8,3;2.783.243;78,81;11,83;0,36;2,91;0,07;3,41;2,61;16,25;83,75;;;
45460;21,9;11,9;12,7;12,7;14,2;12,3;7,5;6,7;172.425;91,39;4,93;0,30;1,11;0,03;0,51;1,73;1,86;98,14;;;
45500;24,3;8,8;13,4;13,1;14,2;12,1;7,7;6,4;136.027;69,67;24,30;0,73;0,69;0,05;2,57;2,00;5,22;94,78;;;
45780;23,5;11,5;12,1;12,3;14,7;12,6;6,9;6,5;651.429;80,41;13,43;0,28;1,38;0,02;1,83;2,65;5,79;94,21;;;
45820;24,9;8,1;12,3;11,8;14,9;13,1;7,7;7,0;233.870;84,31;6,64;1,53;0,95;0,06;2,86;3,65;8,81;91,19;;;
45940;22,6;10,9;12,8;14,1;15,2;11,7;6,4;6,2;366.513;61,39;20,28;0,33;8,94;0,08;6,24;2,75;15,09;84,91;;;
46060;23,0;11,0;12,9;11,8;13,4;12,5;8,3;7,1;980.263;74,34;3,54;3,33;2,62;0,17;12,31;3,70;34,56;65,44;;;
46140;25,5;9,1;13,4;12,9;14,3;11,8;7,1;5,7;937.478;70,93;8,42;8,25;1,76;0,06;4,19;6,38;8,37;91,63;;;
46220;21,8;18,4;13,1;11,6;12,6;11,1;6,1;5,2;219.461;62,36;33,85;0,26;1,07;0,05;1,40;1,02;2,81;97,19;;;
46340;25,7;10,8;12,8;12,2;13,1;11,3;7,6;6,6;209.714;70,14;17,94;0,54;1,24;0,04;8,12;1,98;17,21;82,79;;;
46540;21,9;9,8;11,1;12,3;15,4;13,0;8,0;8,3;299.397;89,18;5,14;0,25;2,30;0,03;1,21;1,89;3,96;96,04;;;
46660;24,9;15,6;14,1;12,2;12,7;10,0;6,1;4,4;139.588;59,71;33,98;0,42;1,26;0,10;2,48;2,05;5,54;94,46;;;
46700;24,6;9,8;13,3;13,2;15,5;12,4;6,3;5,0;413.344;50,99;14,70;0,78;14,63;0,86;10,46;7,59;24,04;75,96;;;
47020;26,4;8,7;12,2;11,8;14,4;12,4;7,6;6,5;115.384;80,15;5,56;0,57;1,61;0,03;9,73;2,35;43,76;56,24;;;
47220;24,0;9,5;14,4;14,1;14,2;11,1;6,7;5,9;156.898;62,74;20,23;1,11;1,22;0,04;11,15;3,52;27,06;72,94;;;
47260;23,6;11,9;14,1;12,8;15,0;11,1;6,4;5,1;1.671.683;59,65;31,25;0,41;3,47;0,12;1,67;3,43;5,36;94,64;;;
47300;32,6;10,7;14,0;12,4;11,8;9,1;5,2;4,3;442.179;60,07;1,63;1,58;3,43;0,12;29,01;4,17;60,62;39,38;;;
47380;25,4;14,3;12,9;11,4;12,9;10,7;6,5;6,0;234.906;69,83;14,80;0,63;1,37;0,05;10,85;2,47;23,61;76,39;;;
47580;26,8;9,5;14,3;13,5;15,2;10,3;6,0;4,4;139.900;63,35;28,59;0,34;2,43;0,13;2,40;2,75;6,09;93,91;;;
