area;u_18;18_24;25_34;35_44;45_54;55_64;65_74;o_75;pop;White;Black;Native;Asian;Hawaiian;Other;2_or_more;Hispanic;Non_Hispanic;;;
14060;22,7;17,3;13,8;12,4;13,3;10,3;5,3;4,9;169.572;84,29;7,33;0,23;4,26;0,03;1,54;2,32;4,38;95,62;;;
14260;27,9;9,1;14,2;13,7;13,4;10,8;6,1;4,8;616.561;87,94;0,90;0,86;1,80;0,21;5,43;2,86;12,58;87,42;;;
14460;21,6;10,4;13,6;13,8;15,5;12,0;6,7;6,4;4.552.402;78,81;7,28;0,25;6,47;0,03;4,57;2,60;9,02;90,98;;;
14500;21,3;14,2;13,4;13,9;15,1;12,0;5,7;4,3;294.567;87,21;0,86;0,62;4,12;0,06;4,46;2,68;13,33;86,67;;;
14540;22,7;15,5;13,7;12,4;13,3;11,0;6,5;5,0;125.953;84,92;8,32;0,28;2,55;0,10;1,86;1,98;4,19;95,81;;;
14740;22,5;10,1;12,5;12,2;15,4;14,1;7,6;5,6;251.133;82,57;2,65;1,61;4,94;0,92;1,56;5,75;6,25;93,75;;;
14860;24,8;7,9;11,6;14,3;16,3;11,7;6,8;6,7;916.829;74,81;10,83;0,26;4,61;0,05;6,81;2,62;16,91;83,09;;;
15180;33,0;9,8;12,8;12,7;11,3;9,3;6,1;5,0;406.220;87,00;0,53;0,42;0,66;0,03;9,82;1,54;88,07;11,93;;;
15260;24,2;8,4;11,5;12,7;14,8;13,5;8,8;6,1;112.370;71,21;23,51;0,31;0,89;0,10;2,32;1,67;5,07;94,93;;;
15380;21,6;10,3;11,6;12,3;15,6;12,8;7,7;8,1;1.135.509;81,63;12,22;0,72;2,26;0,02;1,28;1,87;4,09;95,91;;;
15500;23,5;10,6;11,4;13,7;14,5;11,9;7,6;7,0;151.131;71,08;18,77;0,67;1,22;0,04;6,15;2,08;11,01;88,99;;;
15540;21,1;13,3;12,8;13,1;15,9;12,3;6,3;5,3;211.261;93,27;1,68;0,46;2,20;0,03;0,35;2,00;1,66;98,34;;;
15940;22,9;8,6;11,0;12,3;15,4;13,6;8,3;7,9;404.422;89,36;7,09;0,26;0,70;0,02;0,44;2,14;1,53;98,47;;;
15980;19,5;7,7;10,6;11,4;13,2;14,1;13,1;10,4;618.754;82,99;8,25;0,35;1,37;0,06;4,90;2,08;18,31;81,69;;;
16020;22,2;12,7;12,2;11,7;14,1;12,2;7,7;7,1;96.275;87,52;8,60;0,30;0,98;0,03;0,87;1,70;1,80;98,20;;;
16180;21,4;8,5;12,0;12,6;15,2;13,8;8,7;7,8;55.274;81,06;1,91;2,36;2,14;0,18;9,42;2,93;21,31;78,69;;;
16220;23,9;9,6;14,2;12,1;15,0;12,7;6,4;6,1;75.450;92,80;0,88;1,04;0,68;0,05;2,16;2,40;6,93;93,07;;;
