FFIEC CENSUS AND FFIEC ESTIMATED MSA/MD MEDIAN FAMILY INCOME FOR 2018 CRA/HMDA REPORTS;;;;;;
MSA/MD FIPS CODE NO. ;MSA/MD NAME;2015 MSA/MD MED* FAMILY INCOME;2018 FFIEC EST. MSA/MD MEDIAN FAMILY INCOME**;;;
43580;SIOUX CITY, IA-NE-SD                                                                                                            ;60974;66800;;;
43620;SIOUX FALLS, SD                                                                                                                 ;72948;78700;;;
43780;SOUTH BEND-MISHAWAKA, IN-MI                                                                                                     ;57692;63400;;;
43900;SPARTANBURG, SC                                                                                                                 ;52792;59700;;;
44060;SPOKANE-SPOKANE VALLEY, WA                                                                                                      ;61864;64000;;;
44100;SPRINGFIELD, IL                                                                                                                 ;73402;78500;;;
44140;SPRINGFIELD, MA                                                                                                                 ;67381;73900;;;
44180;SPRINGFIELD, MO                                                                                                                 ;54948;59500;;;
44220;SPRINGFIELD, OH                                                                                                                 ;55198;65300;;;
44300;STATE COLLEGE, PA                                                                                                               ;74118;82400;;;
44420;STAUNTON-WAYNESBORO, VA                                                                                                         ;60603;64300;;;
44700;STOCKTON-LODI, CA                                                                                                               ;59946;63700;;;
44940;SUMTER, SC                                                                                                                      ;49962;49800;;;
45060;SYRACUSE, NY                                                                                                                    ;68468;74100;;;
45104;TACOMA-LAKEWOOD, WA                                                                                                             ;71304;74600;;;
45220;TALLAHASSEE, FL                                                                                                                 ;64055;65600;;;
45300;TAMPA-ST. PETERSBURG-CLEARWATER, FL                                                                                             ;58916;63900;;;
45460;TERRE HAUTE, IN                                                                                                                 ;53828;58300;;;
45500;TEXARKANA, TX-AR                                                                                                                ;51151;52500;;;
45540;THE VILLAGES, FL                                                                                                                ;60099;68200;;;
45780;TOLEDO, OH                                                                                                                      ;60528;67200;;;
45820;TOPEKA, KS                                                                                                                      ;64984;68600;;;
45940;TRENTON, NJ                                                                                                                     ;94908;98900;;;
46060;TUCSON, AZ                                                                                                                      ;57457;60600;;;
46140;TULSA, OK                                                                                                                       ;61182;65800;;;
46220;TUSCALOOSA, AL                                                                                                                  ;56265;60800;;;
46300;TWIN FALLS, ID                                                                                                                  ;51434;54200;;;
46340;TYLER, TX                                                                                                                       ;57823;64000;;;
46520;URBAN HONOLULU, HI                                                                                                              ;86366;96000;;;
46540;UTICA-ROME, NY                                                                                                                  ;61239;65000;;;
46660;VALDOSTA, GA                                                                                                                    ;47592;49500;;;
46700;VALLEJO-FAIRFIELD, CA                                                                                                           ;77061;83700;;;
47020;VICTORIA, TX                                                                                                                    ;60302;69600;;;
47220;VINELAND-BRIDGETON, NJ                                                                                                          ;57550;62400;;;
47260;VIRGINIA BEACH-NORFOLK-NEWPORT NEWS, VA-NC                                                                                      ;70501;74800;;;
47300;VISALIA-PORTERVILLE, CA                                                                                                         ;44814;49200;;;
47380;WACO, TX                                                                                                                        ;54026;59100;;;
47460;WALLA WALLA, WA                                                                                                                 ;61619;67100;;;
47580;WARNER ROBINS, GA                                                                                                               ;61022;64400;;;
47664;WARREN-TROY-FARMINGTON HILLS, MI                                                                                                ;76739;83200;;;
47894;WASHINGTON-ARLINGTON-ALEXANDRIA, DC-VA-MD-WV                                                                                    ;106762;114900;;;
47940;WATERLOO-CEDAR FALLS, IA                                                                                                        ;65749;71500;;;
48060;WATERTOWN-FORT DRUM, NY                                                                                                         ;57300;62100;;;
48140;WAUSAU, WI                                                                                                                      ;66112;72700;;;
48260;WEIRTON-STEUBENVILLE, WV-OH                                                                                                     ;52770;61500;;;
48300;WENATCHEE, WA                                                                                                                   ;60276;67100;;;
48424;WEST PALM BEACH-BOCA RATON-DELRAY BEACH, FL                                                                                     ;65914;74300;;;
48540;WHEELING, WV-OH                                                                                                                 ;56853;65700;;;
48620;WICHITA, KS                                                                                                                     ;64897;69500;;;
48660;WICHITA FALLS, TX                                                                                                               ;57690;62900;;;
48700;WILLIAMSPORT, PA                                                                                                                ;60191;66700;;;
48864;WILMINGTON, DE-MD-NJ                                                                                                            ;80707;87900;;;
48900;WILMINGTON, NC                                                                                                                  ;64357;72600;;;
49020;WINCHESTER, VA-WV                                                                                                               ;69817;71100;;;
49180;WINSTON-SALEM, NC                                                                                                               ;56536;62000;;;
49340;WORCESTER, MA-CT                                                                                                                ;81137;86900;;;
49420;YAKIMA, WA                                                                                                                      ;49907;54700;;;
49620;YORK-HANOVER, PA                                                                                                                ;69846;74300;;;
49660;YOUNGSTOWN-WARREN-BOARDMAN, OH-PA                                                                                               ;55174;61000;;;
49700;YUBA CITY, CA                                                                                                                   ;54931;60000;;;
49740;YUMA, AZ                                                                                                                        ;44088;47000;;;
99999;nonmetro portion of ALABAMA                                           ;45334;48500;;;
99999;nonmetro portion of ALASKA                                            ;76010;81200;;;
99999;nonmetro portion of ARIZONA                                           ;44368;45000;;;
99999;nonmetro portion of ARKANSAS                                          ;45060;48200;;;
99999;nonmetro portion of CALIFORNIA                                        ;56948;59700;;;
99999;nonmetro portion of COLORADO                                          ;60701;67300;;;
99999;nonmetro portion of CONNECTICUT                                       ;89735;96800;;;
99999;nonmetro portion of FLORIDA                                           ;46600;52100;;;
99999;nonmetro portion of GEORGIA                                           ;45816;48900;;;
99999;nonmetro portion of HAWAII                                            ;64822;78500;;;
99999;nonmetro portion of IDAHO                                             ;52759;55600;;;
99999;nonmetro portion of ILLINOIS                                          ;59121;63900;;;
99999;nonmetro portion of INDIANA                                           ;55741;61000;;;
99999;nonmetro portion of IOWA                                              ;61934;67800;;;
99999;nonmetro portion of KANSAS                                            ;56877;61100;;;
99999;nonmetro portion of KENTUCKY                                          ;45920;49400;;;
99999;nonmetro portion of LOUISIANA                                         ;46845;49500;;;
99999;nonmetro portion of MAINE                                             ;54862;60200;;;
99999;nonmetro portion of MARYLAND                                          ;63535;71300;;;
99999;nonmetro portion of MASSACHUSETTS                                     ;73868;80700;;;
99999;nonmetro portion of MICHIGAN                                          ;53542;58700;;;
99999;nonmetro portion of MINNESOTA                                         ;63182;69500;;;
99999;nonmetro portion of MISSISSIPPI                                       ;43702;47000;;;
99999;nonmetro portion of MISSOURI                                          ;48553;53100;;;
99999;nonmetro portion of MONTANA                                           ;59958;66700;;;
99999;nonmetro portion of NEBRASKA                                          ;61382;68000;;;
99999;nonmetro portion of NEVADA                                            ;61350;71200;;;
99999;nonmetro portion of NEW HAMPSHIRE                                     ;71699;80600;;;
99999;nonmetro portion of NEW MEXICO                                        ;49356;53700;;;
99999;nonmetro portion of NEW YORK                                          ;59570;64300;;;
99999;nonmetro portion of NORTH CAROLINA                                    ;47794;52300;;;
99999;nonmetro portion of NORTH DAKOTA                                      ;72620;82900;;;
99999;nonmetro portion of OHIO                                              ;56217;61400;;;
99999;nonmetro portion of OKLAHOMA                                          ;51698;54500;;;
99999;nonmetro portion of OREGON                                            ;51555;54700;;;
99999;nonmetro portion of PENNSYLVANIA                                      ;56172;60500;;;
99999;nonmetro portion of SOUTH CAROLINA                                    ;44547;48300;;;
99999;nonmetro portion of SOUTH DAKOTA                                      ;60961;66600;;;
99999;nonmetro portion of TENNESSEE                                         ;46254;50100;;;
99999;nonmetro portion of TEXAS                                             ;52076;56500;;;
99999;nonmetro portion of UTAH                                              ;64772;71100;;;
99999;nonmetro portion of VERMONT                                           ;64849;71900;;;
99999;nonmetro portion of VIRGINIA                                          ;51375;55900;;;
99999;nonmetro portion of WASHINGTON                                        ;58513;65000;;;
99999;nonmetro portion of WEST VIRGINIA                                     ;48507;52200;;;
99999;nonmetro portion of WISCONSIN                                         ;60911;67800;;;
99999;nonmetro portion of WYOMING                                           ;72833;80400;;;
99999;nonmetro portion of AMERICAN SAMOA                                    ;24706;29100;;;
99999;nonmetro portion of GUAM                                              ;50607;59600;;;
99999;nonmetro portion of NORTHERN MARIANA ISLANDS                          ;22455;26400;;;
99999;nonmetro portion of PUERTO RICO                                       ;18605;21500;;;
99999;nonmetro portion of VIRGIN ISLANDS                                    ;45058;53100;;;
