;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
area;Geographic area;White;"Black or
African
American";"American
Indian
and
Alaska
Native";Asian;"Native
Hawaiian
and Other
Pacific
Islander";"Some
Other
Race";"Two or
More Races1";"Hispanic
or Latino";"Not
Hispanic
or Latino";"Non-
Hispanic
White
alone"
36100;Ocala, FL;80,98;12,32;0,40;1,33;0,04;2,87;2,06;10,91;89,09;73,99
36140;Ocean City, NJ;89,83;4,69;0,21;0,86;0,04;2,47;1,91;6,22;93,78;86,90
36220;Odessa, TX;76,32;4,48;0,99;0,79;0,09;14,86;2,48;52,75;47,25;41,06
36260;Ogden-Clearfield, UT;88,14;1,25;0,61;1,53;0,45;5,24;2,78;11,82;88,18;82,75
36420;Oklahoma City, OK;71,89;10,42;4,09;2,81;0,09;5,54;5,16;11,34;88,66;67,45
36500;Olympia, WA;82,40;2,68;1,39;5,17;0,78;2,24;5,35;7,05;92,95;78,89
36540;Omaha-Council Bluffs, NE-IA;82,52;7,86;0,60;2,08;0,07;4,29;2,58;8,96;91,04;78,72
36740;Orlando-Kissimmee-Sanford, FL;69,98;16,16;0,41;3,98;0,10;6,14;3,24;25,25;74,75;53,26
36780;Oshkosh-Neenah, WI;92,49;1,78;0,62;2,29;0,03;1,31;1,48;3,46;96,54;90,73
36980;Owensboro, KY;92,17;4,14;0,15;0,62;0,05;1,17;1,68;2,37;97,63;91,12
37100;Oxnard-Thousand Oaks-Ventura, CA;68,72;1,84;0,98;6,73;0,20;17,04;4,49;40,27;59,73;48,69
37340;Palm Bay-Melbourne-Titusville, FL;82,99;10,08;0,39;2,09;0,09;1,71;2,64;8,09;91,91;77,56
37380;Palm Coast, FL;82,25;11,37;0,28;2,14;0,06;1,61;2,28;8,62;91,38;76,14
37460;Panama City-Lynn Haven-Panama City Beach, FL;82,16;10,77;0,68;1,99;0,10;1,21;3,10;4,80;95,20;79,24
37620;Parkersburg-Marietta-Vienna, WV-OH;96,56;1,07;0,21;0,51;0,03;0,19;1,43;0,80;99,20;96,01
37700;Pascagoula, MS;74,58;19,64;0,39;1,89;0,05;1,71;1,74;4,21;95,79;72,53
37860;Pensacola-Ferry Pass-Brent, FL;75,26;17,04;0,88;2,44;0,14;1,16;3,09;4,58;95,42;72,52
37900;Peoria, IL;85,66;9,14;0,26;1,88;0,03;1,03;2,00;2,77;97,23;84,26
37980;Philadelphia-Camden-Wilmington, PA-NJ-DE-MD;68,20;20,82;0,27;4,96;0,04;3,39;2,33;7,85;92,15;64,97
38060;Phoenix-Mesa-Glendale, AZ;72,95;4,95;2,37;3,31;0,22;12,71;3,48;29,47;70,53;58,68
38220;Pine Bluff, AR;49,24;47,80;0,27;0,64;0,01;0,90;1,14;1,81;98,19;48,61
38300;Pittsburgh, PA;87,82;8,35;0,12;1,75;0,02;0,35;1,58;1,27;98,73;87,05
38340;Pittsfield, MA;92,50;2,72;0,19;1,23;0,02;1,19;2,14;3,45;96,55;90,63
38540;Pocatello, ID;88,54;0,71;3,09;1,23;0,22;3,58;2,64;8,73;91,27;84,64
38860;Portland-South Portland-Biddeford, ME;94,42;1,58;0,32;1,58;0,03;0,42;1,65;1,55;98,45;93,47
38900;Portland-Vancouver-Hillsboro, OR-WA;81,03;2,86;0,94;5,70;0,46;4,93;4,08;10,86;89,14;76,29
38940;Port St. Lucie, FL;77,11;14,35;0,46;1,39;0,06;4,36;2,27;15,06;84,94;67,80
39100;Poughkeepsie-Newburgh-Middletown, NY;78,50;10,06;0,39;2,88;0,03;5,22;2,91;14,69;85,31;71,02
39140;Prescott, AZ;89,33;0,60;1,68;0,85;0,10;4,90;2,54;13,61;86,39;81,96
39300;Providence-New Bedford-Fall River, RI-MA;83,81;4,87;0,51;2,54;0,05;5,14;3,07;10,22;89,78;79,52
39340;Provo-Orem, UT;89,52;0,54;0,60;1,34;0,74;4,57;2,69;10,66;89,34;84,35
39380;Pueblo, CO;79,36;2,03;1,92;0,79;0,10;12,12;3,68;41,37;58,63;54,10
39460;Punta Gorda, FL;90,05;5,68;0,26;1,20;0,04;1,10;1,67;5,76;94,24;86,03
39540;Racine, WI;79,70;11,14;0,40;1,09;0,03;5,14;2,51;11,54;88,46;74,42
39580;Raleigh-Cary, NC;67,48;20,19;0,51;4,41;0,04;4,98;2,39;10,13;89,87;63,41
39660;Rapid City, SD;85,26;1,08;8,19;0,96;0,08;0,80;3,63;3,81;96,19;83,39
39740;Reading, PA;83,16;4,90;0,31;1,31;0,03;7,80;2,49;16,37;83,63;76,90
39820;Redding, CA;86,74;0,87;2,79;2,48;0,15;2,54;4,42;8,40;91,60;82,41
39900;Reno-Sparks, NV;77,05;2,32;1,71;5,14;0,60;9,42;3,77;22,08;77,92;66,23
40060;Richmond, VA;61,97;29,84;0,44;3,12;0,06;2,30;2,27;5,03;94,97;59,95
40140;Riverside-San Bernardino-Ontario, CA;58,90;7,63;1,10;6,13;0,33;21,02;4,90;47,25;52,75;36,61
40220;Roanoke, VA;82,16;12,83;0,24;1,62;0,03;1,30;1,82;3,15;96,85;80,65
40340;Rochester, MN;88,11;3,77;0,24;4,30;0,04;1,57;1,97;4,08;95,92;85,93
40380;Rochester, NY;81,06;11,63;0,29;2,55;0,03;2,12;2,32;6,14;93,86;78,19
40420;Rockford, IL;78,52;10,64;0,33;2,15;0,03;5,55;2,79;12,35;87,65;72,96
40580;Rocky Mount, NC;49,51;44,68;0,54;0,56;0,02;3,28;1,40;5,33;94,67;47,99
40660;Rome, GA;76,89;14,16;0,36;1,30;0,12;5,31;1,87;9,33;90,67;73,67
40900;Sacramento--Arden-Arcade--Roseville, CA;64,67;7,37;1,01;11,91;0,74;8,39;5,92;20,18;79,82;55,72
40980;Saginaw-Saginaw Township North, MI;74,57;19,04;0,44;1,05;0,03;2,38;2,49;7,78;92,22;70,53
41060;St. Cloud, MN;92,34;2,86;0,33;1,80;0,03;1,07;1,56;2,55;97,45;91,15
41100;St. George, UT;89,72;0,57;1,35;0,71;0,78;4,57;2,29;9,76;90,24;85,64
41140;St. Joseph, MO-KS;90,23;5,05;0,46;0,66;0,16;1,35;2,09;4,20;95,80;87,89
41180;St. Louis, MO-IL;76,54;18,36;0,24;2,14;0,04;0,86;1,82;2,56;97,44;75,12
41420;Salem, OR;79,71;0,97;1,68;1,90;0,65;11,22;3,86;21,93;78,07;71,01
41500;Salinas, CA;55,59;3,08;1,32;6,09;0,50;28,29;5,15;55,41;44,59;32,87
41540;Salisbury, MD;65,46;28,01;0,26;2,12;0,04;1,79;2,33;4,27;95,73;63,55
41620;Salt Lake City, UT;81,99;1,51;0,88;3,10;1,43;8,03;3,07;16,62;83,38;74,90
41660;San Angelo, TX;81,86;3,98;0,79;1,00;0,09;9,45;2,83;35,52;64,48;58,08
41700;San Antonio-New Braunfels, TX;75,49;6,60;0,81;2,12;0,13;11,59;3,27;54,06;45,94;36,12
41740;San Diego-Carlsbad-San Marcos, CA;64,01;5,11;0,85;10,86;0,50;13,55;5,12;32,03;67,97;48,46
41780;Sandusky, OH;87,01;8,62;0,30;0,60;0,01;0,68;2,78;3,38;96,62;84,93
41860;San Francisco-Oakland-Fremont, CA;51,66;8,39;0,57;23,20;0,73;9,91;5,53;21,65;78,35;42,45
41940;San Jose-Sunnyvale-Santa Clara, CA;47,46;2,55;0,75;31,14;0,39;12,81;4,90;27,79;72,21;35,28
42020;San Luis Obispo-Paso Robles, CA;82,61;2,06;0,94;3,15;0,14;7,34;3,75;20,76;79,24;71,09
42060;Santa Barbara-Santa Maria-Goleta, CA;69,62;2,01;1,29;4,88;0,19;17,42;4,59;42,86;57,14;47,92
42100;Santa Cruz-Watsonville, CA;72,49;1,05;0,86;4,24;0,13;16,53;4,69;32,05;67,95;59,61
42140;Santa Fe, NM;76,16;0,86;3,11;1,16;0,07;15,07;3,56;50,65;49,35;43,90
42220;Santa Rosa-Petaluma, CA;76,76;1,57;1,34;3,79;0,32;11,77;4,44;24,89;75,11;66,14
42340;Savannah, GA;59,68;33,87;0,27;2,08;0,09;1,88;2,14;4,95;95,05;57,32
42540;Scranton--Wilkes-Barre, PA;91,51;2,91;0,17;1,22;0,02;2,67;1,50;5,79;94,21;89,17
42660;Seattle-Tacoma-Bellevue, WA;71,95;5,58;1,07;11,42;0,82;3,81;5,35;9,00;91,00;68,03
42680;Sebastian-Vero Beach, FL;84,29;8,98;0,30;1,21;0,04;3,56;1,63;11,20;88,80;77,36
43100;Sheboygan, WI;89,92;1,46;0,38;4,60;0,03;1,99;1,62;5,48;94,52;87,03
43300;Sherman-Denison, TX;83,86;5,86;1,52;0,87;0,03;5,18;2,68;11,32;88,68;78,68
43340;Shreveport-Bossier City, LA;56,40;38,93;0,49;1,17;0,08;1,28;1,66;3,47;96,53;54,70
43580;Sioux City, IA-NE-SD;83,23;2,25;2,04;2,22;0,12;7,30;2,84;15,56;84,44;76,46
43620;Sioux Falls, SD;90,22;2,96;1,98;1,31;0,06;1,44;2,03;3,39;96,61;88,67
43780;South Bend-Mishawaka, IN-MI;80,34;11,52;0,48;1,68;0,06;3,01;2,90;6,57;93,43;77,50
43900;Spartanburg, SC;72,34;20,60;0,27;2,02;0,03;3,06;1,67;5,86;94,14;70,06
44060;Spokane, WA;89,19;1,71;1,55;2,11;0,40;1,25;3,79;4,51;95,49;86,72
44100;Springfield, IL;84,45;11,14;0,20;1,55;0,02;0,52;2,12;1,71;98,29;83,41
44140;Springfield, MA;81,11;6,69;0,35;2,48;0,04;6,62;2,70;15,37;84,63;74,48
44180;Springfield, MO;92,96;2,05;0,67;1,18;0,09;0,79;2,26;2,65;97,35;91,46
44220;Springfield, OH;86,34;8,77;0,25;0,62;0,04;1,44;2,54;2,75;97,25;85,28
44300;State College, PA;89,37;3,01;0,12;5,19;0,03;0,74;1,53;2,40;97,60;87,95
44600;Steubenville-Weirton, OH-WV;93,85;3,91;0,13;0,38;0,02;0,20;1,52;1,00;99,00;93,13
44700;Stockton, CA;50,97;7,55;1,05;14,37;0,55;19,12;6,39;38,86;61,14;35,88
44940;Sumter, SC;48,23;46,92;0,36;1,11;0,09;1,41;1,89;3,29;96,71;46,92
45060;Syracuse, NY;85,46;8,08;0,73;2,38;0,03;0,97;2,35;3,43;96,57;83,77
45220;Tallahassee, FL;61,04;32,48;0,31;2,32;0,05;1,78;2,04;5,81;94,19;57,69
45300;Tampa-St. Petersburg-Clearwater, FL;78,81;11,83;0,36;2,91;0,07;3,41;2,61;16,25;83,75;67,53
45460;Terre Haute, IN;91,39;4,93;0,30;1,11;0,03;0,51;1,73;1,86;98,14;90,18
45500;Texarkana, TX-Texarkana, AR;69,67;24,30;0,73;0,69;0,05;2,57;2,00;5,22;94,78;67,66
45780;Toledo, OH;80,41;13,43;0,28;1,38;0,02;1,83;2,65;5,79;94,21;77,36
45820;Topeka, KS;84,31;6,64;1,53;0,95;0,06;2,86;3,65;8,81;91,19;79,75
45940;Trenton-Ewing, NJ;61,39;20,28;0,33;8,94;0,08;6,24;2,75;15,09;84,91;54,54
46060;Tucson, AZ;74,34;3,54;3,33;2,62;0,17;12,31;3,70;34,56;65,44;55,26
46140;Tulsa, OK;70,93;8,42;8,25;1,76;0,06;4,19;6,38;8,37;91,63;67,80
46220;Tuscaloosa, AL;62,36;33,85;0,26;1,07;0,05;1,40;1,02;2,81;97,19;61,23
46340;Tyler, TX;70,14;17,94;0,54;1,24;0,04;8,12;1,98;17,21;82,79;62,11
46540;Utica-Rome, NY;89,18;5,14;0,25;2,30;0,03;1,21;1,89;3,96;96,04;87,16
46660;Valdosta, GA;59,71;33,98;0,42;1,26;0,10;2,48;2,05;5,54;94,46;57,39
46700;Vallejo-Fairfield, CA;50,99;14,70;0,78;14,63;0,86;10,46;7,59;24,04;75,96;40,80
47020;Victoria, TX;80,15;5,56;0,57;1,61;0,03;9,73;2,35;43,76;56,24;48,27
47220;Vineland-Millville-Bridgeton, NJ;62,74;20,23;1,11;1,22;0,04;11,15;3,52;27,06;72,94;50,31
47260;Virginia Beach-Norfolk-Newport News, VA-NC;59,65;31,25;0,41;3,47;0,12;1,67;3,43;5,36;94,64;57,18
47300;Visalia-Porterville, CA;60,07;1,63;1,58;3,43;0,12;29,01;4,17;60,62;39,38;32,55
47380;Waco, TX;69,83;14,80;0,63;1,37;0,05;10,85;2,47;23,61;76,39;58,87
47580;Warner Robins, GA;63,35;28,59;0,34;2,43;0,13;2,40;2,75;6,09;93,91;60,55
47900;Washington-Arlington-Alexandria, DC-VA-MD-WV;54,80;25,77;0,41;9,27;0,07;6,00;3,68;13,81;86,19;48,57
47940;Waterloo-Cedar Falls, IA;88,24;7,07;0,19;1,14;0,13;1,27;1,97;3,14;96,86;86,77
48140;Wausau, WI;91,33;0,63;0,47;5,33;0,02;0,91;1,30;2,23;97,77;90,26
48300;Wenatchee-East Wenatchee, WA;79,41;0,33;1,00;0,79;0,14;15,63;2,71;26,81;73,19;69,69
48540;Wheeling, WV-OH;94,66;3,14;0,13;0,51;0,01;0,17;1,38;0,71;99,29;94,16
48620;Wichita, KS;79,68;7,71;1,11;3,40;0,08;4,38;3,65;11,57;88,43;73,79
48660;Wichita Falls, TX;79,35;9,19;1,04;1,79;0,07;5,82;2,74;15,20;84,80;71,46
48700;Williamsport, PA;92,65;4,48;0,19;0,58;0,02;0,36;1,72;1,34;98,66;91,90
48900;Wilmington, NC;79,83;14,21;0,57;0,88;0,05;2,55;1,91;5,37;94,63;77,56
49020;Winchester, VA-WV;87,78;4,89;0,29;1,27;0,04;3,67;2,06;7,36;92,64;84,70
49180;Winston-Salem, NC;69,63;20,29;0,39;1,45;0,05;6,23;1,96;10,31;89,69;66,50
49340;Worcester, MA;85,58;4,17;0,25;3,98;0,03;3,64;2,35;9,44;90,56;80,68
49420;Yakima, WA;63,75;0,95;4,34;1,05;0,08;26,07;3,74;45,01;54,99;47,70
49620;York-Hanover, PA;88,54;5,60;0,22;1,24;0,03;2,37;2,00;5,61;94,39;86,16
49660;Youngstown-Warren-Boardman, OH-PA;85,70;10,88;0,18;0,60;0,02;0,79;1,84;2,68;97,32;84,27
49700;Yuba City, CA;64,16;2,56;1,82;11,10;0,34;13,79;6,22;27,14;72,86;54,05
49740;Yuma, AZ;70,44;2,01;1,56;1,19;0,16;20,81;3,84;59,72;40,28;35,26
10020;Abbeville, LA;82,88;8,53;1,72;1,23;0,21;3,12;2,31;8,45;91,55;78,33
10100;Aberdeen, SD;80,90;14,29;0,36;2,00;0,01;1,04;1,40;2,38;97,62;79,84
10140;Aberdeen, WA;93,69;0,49;2,77;0,89;0,10;0,42;1,65;1,36;98,64;93,03
10220;Ada, OK;84,93;1,10;4,57;1,42;0,25;3,87;3,86;8,62;91,38;81,43
10300;Adrian, MI;71,18;2,41;17,37;0,65;0,05;1,13;7,21;4,06;95,94;69,28
10460;Alamogordo, NM;92,27;2,54;0,48;0,52;0,03;1,97;2,19;7,62;92,38;87,58
10540;Albany-Lebanon, OR;72,66;3,53;6,69;1,17;0,24;11,52;4,18;34,53;65,47;52,85
10620;Albemarle, NC;90,57;0,46;1,28;0,95;0,14;3,33;3,27;7,82;92,18;87,06
10660;Albert Lea, MN;83,56;10,94;0,33;1,85;0,07;2,10;1,16;3,58;96,42;82,33
10700;Albertville, AL;93,17;0,74;0,22;0,76;0,06;3,39;1,66;8,80;91,20;88,63
10760;Alexander City, AL;87,58;1,61;0,76;0,51;0,11;7,75;1,68;12,08;87,92;83,92
10820;Alexandria, MN;69,11;27,59;0,30;0,40;0,04;1,60;0,96;2,39;97,61;68,56
10860;Alice, TX;97,71;0,42;0,29;0,46;0,01;0,20;0,91;0,95;99,05;97,13
10880;Allegan, MI;87,22;0,58;0,66;0,37;0,02;9,53;1,61;78,98;21,02;19,74
10940;Alma, MI;92,91;1,22;0,57;0,58;0,02;2,77;1,93;6,69;93,31;89,71
10980;Alpena, MI;90,61;5,54;0,46;0,34;0,02;1,65;1,37;5,42;94,58;87,45
11060;Altus, OK;97,46;0,27;0,53;0,51;0,04;0,14;1,05;1,03;98,97;96,71
11140;Americus, GA;72,81;7,51;1,81;1,18;0,21;11,63;4,86;20,94;79,06;65,81
11220;Amsterdam, NY;46,29;48,03;0,29;1,21;0,06;3,00;1,13;4,96;95,04;45,01
11380;Andrews, TX;90,64;1,89;0,34;0,73;0,04;4,40;1,95;11,26;88,74;85,09
11420;Angola, IN;79,46;1,50;0,96;0,62;0,01;15,48;1,97;48,66;51,34;47,90
11580;Arcadia, FL;96,82;0,52;0,27;0,49;0,03;0,94;0,93;2,87;97,13;95,11
11620;ArdMore, OK;66,24;12,71;0,39;0,51;0,03;17,72;2,39;29,90;70,10;56,08
11660;Arkadelphia, AR;75,12;5,92;8,49;0,97;0,02;3,16;6,32;6,39;93,61;73,16
11740;Ashland, OH;71,83;23,54;0,43;0,52;0,02;2,16;1,50;4,03;95,97;70,35
11780;Ashtabula, OH;97,28;0,75;0,17;0,52;0,07;0,22;0,99;0,94;99,06;96,64
11820;Astoria, OR;92,65;3,53;0,24;0,37;0,02;1,07;2,11;3,39;96,61;90,77
11860;Atchison, KS;90,93;0,53;0,98;1,23;0,23;3,26;2,84;7,66;92,34;87,19
11900;Athens, OH;90,97;5,04;0,55;0,41;0,05;0,53;2,46;2,26;97,74;89,53
11940;Athens, TN;91,80;2,74;0,25;2,70;0,02;0,37;2,12;1,55;98,45;90,77
11980;Athens, TX;91,75;3,95;0,34;0,74;0,02;1,20;1,99;2,84;97,16;90,45
12140;Auburn, IN;85,82;6,22;0,55;0,42;0,04;5,13;1,82;10,81;89,19;80,85
12180;Auburn, NY;96,94;0,35;0,23;0,45;0,04;0,83;1,15;2,44;97,56;95,70
12300;Augusta-Waterville, ME;92,52;3,99;0,35;0,49;0,04;0,82;1,79;2,37;97,63;91,34
12380;Austin, MN;96,19;0,56;0,48;0,73;0,04;0,30;1,69;1,23;98,77;95,41
12460;Bainbridge, GA;90,63;2,09;0,25;1,66;0,10;3,41;1,86;10,57;89,43;84,20
12660;Baraboo, WI;54,22;41,08;0,42;0,52;0,02;2,52;1,21;5,04;94,96;52,49
12740;Barre, VT;94,53;0,58;1,24;0,54;0,02;1,87;1,22;4,32;95,68;92,51
12780;Bartlesville, OK;96,07;0,74;0,25;0,84;0,02;0,31;1,77;1,67;98,33;94,86
12820;Bastrop, LA;78,33;2,41;10,29;1,09;0,03;1,75;6,10;5,01;94,99;75,90
12860;Batavia, NY;51,27;46,94;0,13;0,36;0,05;0,27;0,98;0,91;99,09;50,93
12900;Batesville, AR;92,86;2,68;1,13;0,59;0,01;0,96;1,77;2,69;97,31;91,53
13060;Bay City, TX;91,93;1,97;0,49;0,76;0,11;3,21;1,53;5,84;94,16;89,81
13100;Beatrice, NE;71,21;11,44;0,70;1,96;0,02;12,34;2,32;38,35;61,65;47,41
13180;Beaver Dam, WI;96,86;0,32;0,48;0,39;0,01;0,60;1,34;1,73;98,27;96,06
13220;Beckley, WV;93,84;2,68;0,43;0,53;0,05;1,47;0,99;3,97;96,03;91,62
13260;Bedford, IN;88,51;8,20;0,25;0,91;0,03;0,37;1,73;1,26;98,74;87,81
13300;Beeville, TX;97,34;0,40;0,34;0,49;0,03;0,30;1,11;1,18;98,82;96,59
13340;Bellefontaine, OH;78,75;8,14;0,52;0,56;0,05;9,67;2,32;56,20;43,80;34,42
13420;Bemidji, MN;95,34;1,62;0,25;0,53;0,03;0,31;1,91;1,18;98,82;94,61
13500;Bennettsville, SC;75,06;0,59;20,26;0,70;0,04;0,25;3,10;1,52;98,48;74,40
13540;Bennington, VT;41,43;50,91;4,52;0,26;0,01;1,06;1,81;2,77;97,23;40,29
13620;Berlin, NH-VT;96,59;0,83;0,25;0,72;0,04;0,30;1,26;1,41;98,59;95,67
13660;Big Rapids, MI;97,01;0,42;0,42;0,48;0,00;0,26;1,41;1,17;98,83;96,28
13700;Big Spring, TX;93,68;2,52;0,63;0,65;0,03;0,35;2,14;1,71;98,29;92,60
13860;Bishop, CA;74,05;6,23;0,91;0,76;0,04;15,95;2,06;37,86;62,14;53,70
13940;Blackfoot, ID;74,09;0,59;11,44;1,31;0,09;9,04;3,45;19,40;80,60;66,30
14100;Bloomsburg-Berwick, PA;80,58;0,23;6,51;0,62;0,08;9,82;2,15;17,24;82,76;74,94
14140;Bluefield, WV-VA;95,41;1,76;0,12;1,04;0,02;0,63;1,03;1,96;98,04;94,32
14180;Blytheville, AR;93,05;4,77;0,18;0,57;0,01;0,19;1,23;0,72;99,28;92,60
14220;Bogalusa, LA;61,65;34,03;0,29;0,50;0,01;2,03;1,50;3,65;96,35;60,47
14300;Bonham, TX;66,74;31,01;0,28;0,23;0,01;0,63;1,10;1,88;98,12;65,76
14340;Boone, IA;86,02;6,82;1,09;0,37;0,02;3,62;2,07;9,51;90,49;80,89
14380;Boone, NC;96,97;0,78;0,31;0,33;0,01;0,58;1,01;1,92;98,08;95,77
14420;Borger, TX;94,50;1,72;0,25;0,93;0,03;1,17;1,40;3,35;96,65;92,54
14580;Bozeman, MT;85,53;2,52;1,64;0,41;0,02;7,14;2,74;19,80;80,20;74,41
14620;Bradford, PA;95,05;0,32;0,87;1,15;0,08;0,68;1,85;2,76;97,24;93,33
14660;Brainerd, MN;95,88;2,41;0,23;0,44;0,01;0,14;0,89;1,74;98,26;94,45
14700;Branson, MO;93,23;0,41;4,09;0,35;0,02;0,21;1,69;1,09;98,91;92,64
14780;Brenham, TX;94,99;0,60;0,71;0,52;0,07;1,26;1,87;3,63;96,37;93,02
14820;Brevard, NC;74,17;17,64;0,29;1,32;0,02;4,98;1,58;13,76;86,24;66,42
14940;Brigham City, UT;92,41;3,90;0,29;0,44;0,02;1,25;1,69;2,91;97,09;90,81
15020;Brookhaven, MS;91,77;0,34;0,82;0,89;0,17;3,77;2,24;8,31;91,69;88,26
15060;Brookings, OR;68,44;29,95;0,18;0,34;0,02;0,32;0,75;0,95;99,05;67,97
15100;Brookings, SD;92,00;0,30;1,90;0,72;0,09;1,31;3,68;5,37;94,63;88,70
15140;Brownsville, TN;93,23;0,79;0,88;2,72;0,03;0,92;1,42;1,99;98,01;92,33
15220;Brownwood, TX;45,87;50,38;0,17;0,11;0,00;2,54;0,93;3,85;96,15;44,81
15340;Bucyrus, OH;86,50;3,63;0,57;0,43;0,04;6,74;2,10;19,56;80,44;74,73
15420;Burley, ID;97,20;0,86;0,14;0,36;0,02;0,32;1,11;1,22;98,78;96,44
15460;Burlington, IA-IL;81,06;0,33;0,99;0,46;0,04;14,74;2,39;28,40;71,60;69,35
15580;Butte-Silver Bow, MT;92,12;4,33;0,24;0,64;0,05;0,51;2,10;2,35;97,65;90,63
15620;Cadillac, MI;94,42;0,32;1,92;0,48;0,07;0,68;2,11;3,66;96,34;92,15
15660;Calhoun, GA;96,69;0,36;0,61;0,51;0,04;0,38;1,41;1,73;98,27;95,57
15700;Cambridge, MD;85,22;3,63;0,37;0,98;0,13;7,70;1,96;14,02;85,98;79,92
15740;Cambridge, OH;67,65;27,72;0,34;0,92;0,03;1,42;1,92;3,46;96,54;66,16
15780;Camden, AR;96,01;1,47;0,25;0,27;0,02;0,19;1,78;0,87;99,13;95,48
15820;Campbellsville, KY;59,97;37,03;0,32;0,34;0,02;0,75;1,57;1,78;98,22;59,21
15860;Cañon City, CO;91,95;4,96;0,13;0,53;0,04;0,76;1,63;1,77;98,23;91,09
15900;Canton, IL;90,18;3,94;1,73;0,60;0,05;1,63;1,88;12,32;87,68;80,40
16060;Carbondale, IL;93,41;3,42;0,35;0,30;0,01;1,61;0,90;2,42;97,58;92,79
16100;Carlsbad-Artesia, NM;77,84;14,26;0,38;3,17;0,05;1,65;2,65;3,99;96,01;75,97
16260;Cedar City, UT;77,41;1,38;1,50;0,66;0,04;16,03;2,98;44,09;55,91;52,22
16340;Cedartown, GA;90,65;0,49;2,21;0,76;0,30;3,25;2,34;7,72;92,28;87,14
16380;Celina, OH;77,09;12,51;0,28;0,68;0,09;7,52;1,83;11,78;88,22;73,52
16420;Central City, KY;97,42;0,25;0,25;0,44;0,17;0,56;0,91;1,50;98,50;96,67
16460;Centralia, IL;93,70;4,53;0,15;0,14;0,02;0,38;1,10;1,17;98,83;93,02
16500;Centralia, WA;93,15;3,95;0,31;0,57;0,02;0,42;1,59;1,37;98,63;92,44
16540;Chambersburg, PA;89,74;0,54;1,42;0,88;0,16;4,04;3,23;8,65;91,35;85,99
16660;Charleston-Mattoon, IL;92,02;3,14;0,20;0,88;0,02;1,90;1,84;4,30;95,70;90,23
16900;Chester, SC;93,78;3,24;0,19;0,86;0,02;0,51;1,39;1,89;98,11;92,64
17060;Chillicothe, OH;59,79;37,38;0,41;0,33;0,02;0,56;1,51;1,45;98,55;59,11
17200;Claremont, NH;90,74;6,20;0,30;0,38;0,01;0,28;2,09;0,96;99,04;90,15
17220;Clarksburg, WV;96,98;0,42;0,29;0,62;0,01;0,27;1,40;1,13;98,87;96,22
17260;Clarksdale, MS;96,33;1,44;0,21;0,43;0,02;0,16;1,41;1,13;98,87;95,47
17340;Clearlake, CA;22,90;75,53;0,09;0,47;0,02;0,49;0,50;1,12;98,88;22,63
17380;Cleveland, MS;80,47;1,91;3,17;1,12;0,17;8,44;4,74;17,15;82,85;74,13
17500;Clewiston, FL;33,52;64,20;0,12;0,55;0,03;0,95;0,62;1,87;98,13;32,92
17540;Clinton, IA;59,88;13,44;1,72;0,71;0,06;21,52;2,68;49,16;50,84;34,87
17580;Clovis, NM;93,97;2,63;0,25;0,57;0,02;0,73;1,83;2,53;97,47;92,54
17700;Coffeyville, KS;69,72;6,32;1,17;1,29;0,11;17,25;4,15;39,52;60,48;50,74
17740;Coldwater, MI;83,34;5,80;3,35;0,58;0,11;1,89;4,93;5,20;94,80;80,94
17940;Columbia, TN;92,94;3,08;0,40;0,46;0,01;1,63;1,48;3,99;96,01;90,87
18060;Columbus, MS;82,36;12,54;0,33;0,60;0,04;2,17;1,95;4,83;95,17;80,19
18100;Columbus, NE;53,96;43,48;0,19;0,67;0,05;0,56;1,09;1,53;98,47;53,27
18180;Concord, NH;90,02;0,45;0,68;0,47;0,04;6,86;1,48;13,81;86,19;84,27
18220;Connersville, IN;95,33;1,04;0,27;1,59;0,03;0,33;1,41;1,60;98,40;94,27
18260;Cookeville, TN;96,93;1,33;0,13;0,33;0,00;0,30;0,97;0,92;99,08;96,35
18300;Coos Bay, OR;93,83;1,48;0,41;0,85;0,05;1,98;1,40;3,98;96,02;92,20
18340;Corbin, KY;89,81;0,41;2,52;1,05;0,19;1,70;4,33;5,38;94,62;86,96
18380;Cordele, GA;97,38;0,58;0,27;0,36;0,04;0,18;1,19;0,87;99,13;96,87
18420;Corinth, MS;53,27;43,00;0,14;0,78;0,05;1,79;0,97;3,19;96,81;52,12
18460;Cornelia, GA;85,43;11,39;0,21;0,32;0,02;1,62;1,02;2,73;97,27;84,50
18500;Corning, NY;85,72;3,35;0,45;2,23;0,15;6,30;1,79;12,39;87,61;80,44
18620;Corsicana, TX;95,28;1,56;0,23;1,17;0,02;0,35;1,40;1,38;98,62;94,43
18660;Cortland, NY;69,43;13,84;0,64;0,53;0,80;12,52;2,24;23,77;76,23;59,89
18740;Coshocton, OH;95,06;1,54;0,28;0,84;0,01;0,55;1,71;2,22;97,78;93,75
18820;Crawfordsville, IN;97,04;1,07;0,22;0,28;0,01;0,22;1,16;0,76;99,24;96,56
18860;Crescent City, CA;95,24;0,86;0,26;0,56;0,02;1,84;1,24;4,56;95,44;92,79
18900;Crossville, TN;73,74;3,47;7,84;3,37;0,11;6,92;4,54;17,80;82,20;64,71
18940;Crowley, LA;96,81;0,29;0,31;0,42;0,07;1,10;1,00;2,33;97,67;95,82
