;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
area;Geographic area;White;"Black or
African
American";"American
Indian
and
Alaska
Native";Asian;"Native
Hawaiian
and Other
Pacific
Islander";"Some
Other
Race";"Two or
More Races1";"Hispanic
or Latino";"Not
Hispanic
or Latino";"Non-
Hispanic
White
alone"
16180;Carson City, NV;81,06;1,91;2,36;2,14;0,18;9,42;2,93;21,31;78,69;70,71
16220;Casper, WY;92,80;0,88;1,04;0,68;0,05;2,16;2,40;6,93;93,07;89,05
16300;Cedar Rapids, IA;92,02;3,43;0,26;1,54;0,07;0,63;2,05;2,36;97,64;90,60
16580;Champaign-Urbana, IL;76,62;10,82;0,26;7,79;0,06;1,93;2,52;4,77;95,23;74,29
16620;Charleston, WV;92,27;4,85;0,20;0,81;0,02;0,24;1,61;0,83;99,17;91,77
16700;Charleston-North Charleston-Summerville, SC;65,57;27,69;0,46;1,63;0,09;2,47;2,09;5,37;94,63;63,23
16740;Charlotte-Gastonia-Rock Hill, NC-SC;65,13;23,95;0,49;3,15;0,06;4,98;2,24;9,83;90,17;61,21
16820;Charlottesville, VA;78,96;12,46;0,25;3,90;0,04;1,96;2,43;4,78;95,22;76,57
16860;Chattanooga, TN-GA;81,13;13,88;0,34;1,37;0,07;1,58;1,62;3,54;96,46;79,56
16940;Cheyenne, WY;88,52;2,45;0,96;1,06;0,15;3,79;3,06;13,06;86,94;80,80
16980;Chicago-Joliet-Naperville, IL-IN-WI;65,36;17,40;0,39;5,63;0,03;8,76;2,43;20,69;79,31;55,01
17020;Chico, CA;81,86;1,55;2,00;4,12;0,21;5,52;4,75;14,14;85,86;75,19
17140;Cincinnati-Middletown, OH-KY-IN;82,93;12,01;0,19;1,90;0,07;1,06;1,85;2,59;97,41;81,63
17300;Clarksville, TN-KY;73,23;18,27;0,56;1,64;0,36;2,11;3,83;6,83;93,17;69,87
17420;Cleveland, TN;91,36;3,69;0,34;0,74;0,05;2,11;1,71;4,23;95,77;89,69
17460;Cleveland-Elyria-Mentor, OH;74,06;20,05;0,20;1,95;0,02;1,70;2,03;4,72;95,28;71,73
17660;Coeur d'Alene, ID;94,48;0,30;1,29;0,69;0,09;0,75;2,40;3,80;96,20;92,03
17780;College Station-Bryan, TX;73,23;11,85;0,47;4,47;0,05;7,65;2,28;22,55;77,45;59,81
17820;Colorado Springs, CO;80,28;5,98;0,95;2,67;0,34;4,77;5,01;14,71;85,29;72,66
17860;Columbia, MO;83,30;9,05;0,39;3,57;0,06;0,87;2,76;2,90;97,10;81,56
17900;Columbia, SC;60,39;33,23;0,36;1,66;0,09;2,33;1,95;5,10;94,90;58,35
17980;Columbus, GA-AL;52,47;40,37;0,40;1,69;0,22;2,15;2,71;5,73;94,27;50,03
18020;Columbus, IN;89,62;1,85;0,27;3,43;0,06;3,19;1,58;6,20;93,80;87,01
18140;Columbus, OH;77,52;14,90;0,23;3,12;0,05;1,66;2,53;3,62;96,38;75,93
18580;Corpus Christi, TX;82,51;3,51;0,63;1,57;0,08;9,29;2,42;57,74;42,26;36,33
18700;Corvallis, OR;87,06;0,89;0,73;5,18;0,25;2,32;3,58;6,39;93,61;83,61
18880;Crestview-Fort Walton Beach-Destin, FL;81,06;9,29;0,59;2,95;0,20;1,99;3,93;6,80;93,20;77,15
19060;Cumberland, MD-WV;90,87;6,59;0,14;0,66;0,03;0,22;1,49;1,25;98,75;89,97
19100;Dallas-Fort Worth-Arlington, TX;65,31;15,10;0,68;5,36;0,10;10,64;2,82;27,50;72,50;50,25
19140;Dalton, GA;80,11;2,88;0,57;1,02;0,07;13,05;2,30;26,45;73,55;68,54
19180;Danville, IL;82,48;12,95;0,23;0,69;0,02;1,46;2,17;4,22;95,78;80,36
19260;Danville, VA;64,23;32,67;0,21;0,55;0,03;1,12;1,19;2,42;97,58;63,21
19340;Davenport-Moline-Rock Island, IA-IL;86,03;6,81;0,26;1,58;0,03;2,59;2,69;7,64;92,36;81,92
19380;Dayton, OH;79,96;14,95;0,23;1,83;0,03;0,70;2,29;2,05;97,95;78,83
19460;Decatur, AL;79,34;11,78;1,95;0,48;0,07;3,88;2,50;6,33;93,67;77,36
19500;Decatur, IL;79,31;16,27;0,20;1,01;0,03;0,68;2,49;1,87;98,13;78,38
19660;Deltona-Daytona Beach-Ormond Beach, FL;82,54;10,47;0,36;1,53;0,04;2,93;2,12;11,16;88,84;75,41
19740;Denver-Aurora-Broomfield, CO;77,96;5,63;0,99;3,70;0,12;8,03;3,58;22,45;77,55;65,80
19780;Des Moines-West Des Moines, IA;87,22;4,75;0,29;3,02;0,05;2,52;2,14;6,67;93,33;83,64
19820;Detroit-Warren-Livonia, MI;70,09;22,82;0,35;3,29;0,02;1,23;2,20;3,91;96,09;67,88
20020;Dothan, AL;72,81;23,11;0,50;0,65;0,04;1,28;1,61;2,96;97,04;71,52
20100;Dover, DE;67,77;23,97;0,64;2,04;0,06;1,99;3,53;5,76;94,24;65,24
20220;Dubuque, IA;94,06;2,65;0,19;0,94;0,31;0,55;1,30;1,93;98,07;92,88
20260;Duluth, MN-WI;92,61;1,33;2,66;0,83;0,03;0,21;2,34;1,21;98,79;91,89
20500;Durham-Chapel Hill, NC;59,28;27,07;0,50;4,39;0,05;6,33;2,39;11,28;88,72;55,30
20740;Eau Claire, WI;93,98;1,15;0,48;2,53;0,03;0,43;1,39;1,62;98,38;93,05
20940;El Centro, CA;58,76;3,31;1,75;1,63;0,09;30,03;4,42;80,37;19,63;13,71
21060;Elizabethtown, KY;82,10;10,62;0,48;1,78;0,30;1,41;3,31;4,78;95,22;79,54
21140;Elkhart-Goshen, IN;82,91;5,72;0,38;0,97;0,04;7,49;2,49;14,12;85,88;77,22
21300;Elmira, NY;88,68;6,56;0,26;1,19;0,02;0,62;2,67;2,52;97,48;87,41
21340;El Paso, TX;82,06;3,11;0,75;1,03;0,12;10,47;2,46;82,20;17,80;13,15
21500;Erie, PA;88,24;7,18;0,20;1,10;0,03;1,15;2,10;3,39;96,61;86,53
21660;Eugene-Springfield, OR;88,33;0,96;1,16;2,37;0,22;2,80;4,17;7,44;92,56;84,67
21780;Evansville, IN-KY;89,89;6,17;0,21;0,95;0,05;0,85;1,87;1,94;98,06;88,93
21820;Fairbanks, AK;77,04;4,53;7,05;2,66;0,41;1,48;6,84;5,79;94,21;74,05
22020;Fargo, ND-MN;91,96;2,05;1,26;2,10;0,03;0,64;1,97;2,43;97,57;90,51
22140;Farmington, NM;51,56;0,58;36,63;0,37;0,06;7,31;3,49;19,05;80,95;42,49
22180;Fayetteville, NC;50,59;36,26;2,63;2,07;0,37;3,46;4,63;9,83;90,17;46,37
22220;Fayetteville-Springdale-Rogers, AR-MO;81,91;1,94;1,51;2,38;1,09;8,45;2,73;14,92;85,08;76,27
22380;Flagstaff, AZ;61,72;1,21;27,31;1,37;0,12;5,20;3,06;13,51;86,49;55,22
22420;Flint, MI;74,54;20,70;0,53;0,91;0,02;0,71;2,59;3,05;96,95;72,73
22500;Florence, SC;55,20;41,39;0,32;0,91;0,02;1,05;1,11;2,03;97,97;54,53
22520;Florence-Muscle Shoals, AL;84,21;12,25;0,41;0,62;0,04;1,01;1,46;2,16;97,84;83,30
22540;Fond du Lac, WI;94,14;1,28;0,46;1,13;0,02;1,67;1,29;4,30;95,70;91,90
22660;Fort Collins-Loveland, CO;90,53;0,83;0,74;1,94;0,07;3,25;2,64;10,56;89,44;84,45
22900;Fort Smith, AR-OK;78,63;3,56;6,34;2,22;0,07;4,63;4,54;8,19;91,81;75,97
23060;Fort Wayne, IN;81,93;10,04;0,34;2,39;0,05;2,59;2,66;5,81;94,19;79,41
23420;Fresno, CA;55,37;5,32;1,68;9,60;0,15;23,33;4,54;50,31;49,69;32,73
23460;Gadsden, AL;80,27;15,13;0,43;0,64;0,16;1,89;1,48;3,30;96,70;79,28
23540;Gainesville, FL;70,97;19,37;0,32;5,03;0,06;1,68;2,57;8,17;91,83;65,22
23580;Gainesville, GA;74,13;7,39;0,45;1,80;0,09;13,94;2,20;26,10;73,90;63,61
24020;Glens Falls, NY;95,57;1,93;0,21;0,56;0,02;0,50;1,22;2,04;97,96;94,31
24140;Goldsboro, NC;58,83;31,40;0,39;1,17;0,05;5,86;2,30;9,92;90,08;55,63
24220;Grand Forks, ND-MN;91,26;1,66;2,14;1,53;0,04;1,07;2,30;3,73;96,27;89,14
24300;Grand Junction, CO;89,41;0,64;1,06;0,76;0,11;5,37;2,65;13,33;86,67;83,11
24340;Grand Rapids-Wyoming, MI;83,07;8,06;0,52;1,90;0,04;3,76;2,66;8,43;91,57;79,48
24500;Great Falls, MT;89,25;1,24;4,29;0,84;0,11;0,65;3,62;3,33;96,67;87,42
24540;Greeley, CO;82,90;0,98;1,11;1,20;0,09;10,79;2,94;28,35;71,65;67,57
24580;Green Bay, WI;88,42;1,84;2,37;2,25;0,04;3,13;1,95;6,19;93,81;86,07
24660;Greensboro-High Point, NC;65,01;25,52;0,54;2,91;0,05;3,85;2,13;7,55;92,45;62,06
24780;Greenville, NC;58,00;34,42;0,39;1,42;0,05;3,77;1,95;6,47;93,53;55,97
24860;Greenville-Mauldin-Easley, SC;76,25;16,69;0,28;1,72;0,05;3,28;1,74;6,75;93,25;73,32
25060;Gulfport-Biloxi, MS;73,62;19,26;0,47;2,33;0,12;1,74;2,45;4,67;95,33;71,33
25180;Hagerstown-Martinsburg, MD-WV;86,95;8,05;0,24;1,11;0,04;1,10;2,52;3,44;96,56;85,11
25260;Hanford-Corcoran, CA;54,27;7,20;1,67;3,67;0,18;28,11;4,90;50,90;49,10;35,22
25420;Harrisburg-Carlisle, PA;82,56;10,23;0,18;2,88;0,03;1,76;2,36;4,70;95,30;80,50
